claim_id	map_status	initial_verdict	final_verdict	issue_or_basis	resolution	checked_evidence
C01	OBSERVATIONAL_ONLY	BLOCK	PASS	四月记录已包含 study recall、子代理和 review/task-run，不能概括成纯 one-shot	改写为时间线观察并保留“早期验证层级仅 lint”的边界	.github/task-runs/2026-04-13-rv32i-nonpipe-core/task-report.md | .github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/evidence-index.md
C02	MISSING	PASS	PASS	缺少同模型、同快照、同任务和同预算的受控对照	保持 MISSING，不把纵向共现写成因果优势	docs/research-paper/experiment-plan.md
C03	SUPPORTED	PASS	PASS	两个记录均保存局部通过后被更强门禁否定的反例	保持仅对所列组合环与死锁事件成立	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md
C04	PARTIALLY_SUPPORTED	PASS	PASS	存在机制生效事件，但没有 Prompt-only 对照与总体风险分母	保持部分支持，不量化总体风险下降	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json
C07	PARTIALLY_SUPPORTED	BLOCK	PASS	task-report 与 evidence-index 保存了不同身份元组	由 SUPPORTED 降级；保留冲突且不择一覆盖	.github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/evidence-index.md
C10	SUPPORTED	PASS	PASS	所列 IFU、FENCE、STORE/AMO compile-success 变体均被目标 oracle 动态拒绝	保持 fault-set dependent 边界	.github/task-runs/2026-07-22-rv64-v9i-ifu-access-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/evidence/rtl-variants/summary.json
C11	CONTRADICTED	PASS	PASS	已有同值连接、旧值 force/release 与不可观测变体假绿反例	保持强主张被反证；mutation 只支持指定故障模型	.github/memory/known-issues.md
C14	SUPPORTED	PASS	PASS	冻结代理约束下可核对 top40 40/40 MET 与最差正裕量	保持仅为 gate-level proxy，不晋级物理签核	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/task-report.md | .github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/evidence/opensta-fresh-t4i-final/opensta-current-check-setup.txt
C15	CONTRADICTED	PASS	PASS	缺 I/O delay、未约束端点、理想时钟、无 SPEF/CTS/OCV 且宏为占位模型	保持 PPA UNQUALIFIED，禁止 200 MHz 物理签核表述	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/task-report.md | .github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/evidence/opensta-fresh-t4i-final/opensta-current-check-setup.txt
C22	SUPPORTED	PASS	PASS	console、结构化事务与冻结重放共同支持 A3 上的 Ubuntu 系统事务	保持 source rc=1、strict 16/17 与不可晋级边界	docs/research-paper/ubuntu-19h-milestone-evidence.md | .github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/rootfs-c1b531-systemd-strict-6b-a3/guest/console.log | .github/task-runs/2026-07-28-rv64-v10f-a3-checker-replay-v2/evidence/replay-verdict.log
C23	CONTRADICTED	PASS	PASS	A3 source FAIL、A4 rc=143 且 replay 明示不可 promotion	保持 raw 17/17 与架构/PPA 晋级主张被反证	.github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/rootfs-c1b531-systemd-strict-6b-a3.status | .github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/rootfs-5f9dd068-systemd-strict-6b-a4.status | .github/task-runs/2026-07-28-rv64-v10f-a3-checker-replay-v2/evidence/replay-verdict.log
C30	SUPPORTED	BLOCK	PASS	首版映射只列 rep1 且未列 V3 command-status，不能支撑“各次”与返回码	补齐 CoreMark/Dhrystone rep1--rep3、四份 pre/post、cleanup、receipt-build、V3 command-status 与 result；明确 V3 只覆盖 CoreMark 1176-event 样本	.github/task-runs/2026-08-04-rv64-v14q-owner-timing-workload-ab-v1/owner-timing-workload-ab.status | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-workload-ab-v1/evidence/owner-timing-workload-ab/logs/coremark-owner-timing-rep1.log | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-workload-ab-v1/evidence/owner-timing-workload-ab/logs/coremark-owner-timing-rep2.log | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-workload-ab-v1/evidence/owner-timing-workload-ab/logs/coremark-owner-timing-rep3.log | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-workload-ab-v1/evidence/owner-timing-workload-ab/logs/dhrystone-owner-timing-rep1.log | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-workload-ab-v1/evidence/owner-timing-workload-ab/logs/dhrystone-owner-timing-rep2.log | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-workload-ab-v1/evidence/owner-timing-workload-ab/logs/dhrystone-owner-timing-rep3.log | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-invalid-probe-replay-v3/evidence/owner-timing-invalid-probe-replay/command-status.txt | .github/task-runs/2026-08-04-rv64-v14q-owner-timing-invalid-probe-replay-v3/evidence/owner-timing-invalid-probe-replay/result.json
