recall-discovery	agent-system	agent-system	PASS	AGENTS/copilot/instructions/memory/e2e profiles	规则发现链和 e2e 配置入口存在	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/recall-discovery.log
tool-env-check	agent-system	toolchain	PASS	agent-env + bash/git/make/python/gcc/verilator/toolchain	非交互软环境、hard requirements 与 optional tools 可见	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/tool-env-check.log
npc-sim-status	hardware-flow	hardware-flow	PASS	npc/sim Kconfig 与 backend mk	当前 npc/sim 后端状态	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/npc-sim-status.log
npc-rv64-contract	npc	npc	PASS	npc/rv64 + Linux README	RV64 core/Linux 入口合约存在	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/npc-rv64-contract.log
npc-rv64-sv39-sret-u-mode	npc	npc	PASS	npc/rv64 Sv39 + SRET U-mode + U pagefault focused TB	NPC RV64 SRET 到 U-mode、U 页取指、U ecall、U load page fault 回 S 并 sret 回 U 的回归 PASS	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/npc-rv64-sv39-sret-u-mode.log
npc-rv64-linux-focused-smokes	npc	npc	PASS	Linux/tools SRET/Sv39/pagefault/virtio focused smokes on NPC	NPC RV64 Linux focused smokes 覆盖 SRET/Sv39、ret_from_exception、U pagefault 与 virtio-blk	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/npc-rv64-linux-focused-smokes.log
npc-rv64-uart-rx-smoke	npc	npc	PASS	NPC 16550 UART RX register + gated DPI injection smoke	NPC RV64 UART RX 支持 RBR/LSR/IIR/IER[0]，并支持 NPC_UART_RX_WAIT 按 guest 输出 marker 释放宿主输入	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/npc-rv64-uart-rx-smoke.log
npc-rv64-linux-rootfs-mount-smoke	npc	npc	PASS	Ubuntu rootfs mount + systemd banner smoke on NPC	NPC RV64 Ubuntu rootfs 至少完成 ttyS0 console、virtio-blk、EXT4/VFS root mount，并进入 systemd PID1 打印 Ubuntu 22.04 banner	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/npc-rv64-linux-rootfs-mount-smoke.log
npc-rv64-systemd-guest-check-contract	npc	npc	PASS	NPC systemd guest prompt/script gate contract	NPC RV64 具备等待 root 串口 prompt 后用 NPC_UART_RX_FILE 注入 guest-side 检查脚本并等待 NPC_GUEST_EXPECT marker 的 gate 入口	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/npc-rv64-systemd-guest-check-contract.log
rv64-linux-contract	rv64-linux	rv64-linux	PASS	Linux Makefile/env/platform/instructions	RV64 Linux/Ubuntu 合约入口存在	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/rv64-linux-contract.log
software-flow-contract	software-flow	software-flow	PASS	software-flow agent + profile + memory	软件开发全流程 agent 合约入口存在	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/software-flow-contract.log
nemu-ubuntu-static	nemu	nemu	PASS	Linux/NEMU Ubuntu rootfs scripts + performance config	NEMU Ubuntu 切片静态生产守门 PASS	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/nemu-ubuntu-static.log
nemu-ubuntu-slice-contract	nemu	nemu	PASS	recent NEMU Ubuntu device slice hooks and guest markers	近期 NEMU Ubuntu 设备切片合约仍挂入 guest gate	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/nemu-ubuntu-slice-contract.log
nemu-ubuntu-full-focused-gate	nemu	nemu	PASS	optional full Ubuntu rootfs/systemd guest gate	AGENT_E2E_NEMU_UBUNTU_FULL_GATE=1 时运行真实 full rootfs guest gate，否则 SKIP	.github/task-runs/2026-06-12-nemu-full-http-head-404-real-run/evidence/nemu-ubuntu-full-focused-gate.log
