command	argv_json	purpose	rc
sha256sum	["sha256sum", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/subagent-contracts/v10e_runner_prelaunch_review_v5.json"]	核对 V5 子任务合同 JSON SHA-256	0
git diff	["git", "diff", "--raw", "4b825dc642cb6eb9a060e54bf8d69288fbee4904", "--", "Linux/scripts/check-npc-systemd-guest.sh"]	证明 guest checker tracked mode	0
git diff	["git", "diff", "--raw", "HEAD", "--", "Linux/scripts/check-npc-systemd-guest.sh"]	证明 guest checker 工作树 mode/content 无漂移	0
bash	["bash", "-n", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/run-v10e-current-design-systemd-strict.sh", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/launch-v10e-current-design-systemd-strict.sh", ".github/task-runs/2026-07-24-rv64-v9s-serialize-default/launch-v9s-rootfs-csr-qh-systemd-strict.sh", "scripts/task-run-status.sh"]	检查 runner、V10E/V9S launcher 与 status helper 语法	0
bash	["bash", "scripts/tests/test-task-run-status.sh"]	运行 task-run status helper 定向测试	0
python3	["python3", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/test-runner-contract.py"]	运行 42 个静态负向变体与 8 类动态 fixture	0
bash	["env", "V10E_RECERT_RUN_LABEL=rootfs-c1b531-systemd-strict-6b-a2", "V10E_RECERT_LAUNCH_VALIDATE_ONLY=1", "bash", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/launch-v10e-current-design-systemd-strict.sh"]	运行 a2 launcher validate-only，不启动仿真	0
rg	["rg", "-a", "-n", "\\[(V9Q-(BRIDGE-HOLDER|TRANSIENT-HOLDER|TRANSIENT-BRIDGE|DUAL-REQ-TOKEN)-DISJOINT|S2-G1-TCOLL-INGRESS-DUP|V10D-[^]]*FAIL)\\]|%Error:|Assertion failed|RTL assertion|\\[.*ASSERT.*FAIL"]	production assertion regex 匹配输入	0
rg	["rg", "-a", "-n", "\\[(V9Q-(BRIDGE-HOLDER|TRANSIENT-HOLDER|TRANSIENT-BRIDGE|DUAL-REQ-TOKEN)-DISJOINT|S2-G1-TCOLL-INGRESS-DUP|V10D-[^]]*FAIL)\\]|%Error:|Assertion failed|RTL assertion|\\[.*ASSERT.*FAIL"]	production assertion regex 无匹配输入	1
rg	["rg", "-a", "-n", "\\[(V9Q-(BRIDGE-HOLDER|TRANSIENT-HOLDER|TRANSIENT-BRIDGE|DUAL-REQ-TOKEN)-DISJOINT|S2-G1-TCOLL-INGRESS-DUP|V10D-[^]]*FAIL)\\]|%Error:|Assertion failed|RTL assertion|\\[.*ASSERT.*FAIL", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/review-v5/deliberately-missing-assertion.log"]	production assertion regex 读取错误输入	2
python3	["python3", "-", "architecture_hard_gates.rtl_binding(ROOT)"]	重算当前 npc/rv64/vsrc RTL design-id 与源文件 SHA-256 清单	0
python3	["python3", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/review-v5/generate-v5-evidence.py"]	生成 V5 启动前独立验证证据	0
sha256sum	["sha256sum", "generate-v5-evidence.py", "contract-sha256.log", "contract-sha256.rc", "guest-checker-git-mode.log", "guest-checker-git-mode.rc", "guest-checker-head-drift.log", "guest-checker-head-drift.rc", "guest-checker-mode.json", "a1-root-cause.json", "a1-raw-evidence.log", "bash-syntax.log", "bash-syntax.rc", "task-run-status.log", "task-run-status.rc", "runner-contract.log", "runner-contract.rc", "a2-launcher-validate-only.log", "a2-launcher-validate-only.rc", "assertion-regex-fixture.log", "rtl-binding.txt", "input-sha256-pre.txt", "input-sha256-post.txt", "input-drift.txt", "gate-summary.json", "commands.tsv", "review.md"]	计算 V5 证据产物 SHA-256 清单（cwd=review-v5）	0
